new_complaint_id,new_complaint_category,new_customer_id,new_customer_name,new_customer_country,new_communication_channel,new_complaint_description,new_complaint_product_type,new_complaint_priority,new_department_assigend,new_complaint_date,new_complaint_status
22,customer_service,1022,Customer_22,Ghana,Phone Call,i contacted support about my eyeshadow and never received a helpful response.,Eyeshadow,4,Customer Support,2025-10-20,awaiting
23,product_quality,1023,Customer_23,Kenya,Website,The Blush does not perform as advertised.,Blush,2,Quality Control Department,2025-08-05,resolved
24,product_quality,1024,Customer_24,Kenya,Website,The Cleanser does not perform as advertised.,Cleanser,2,Quality Control Department,2025-02-25,in_progress
25,delivery,1025,Customer_25,Ghana,Email,My Concealer order arrived much later than expected.,Concealer,3,Delivery Department,2025-08-15,awaiting
26,packaging,1026,Customer_26,Algeria,Phone Call,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,5,Packaging Department,2025-03-27,resolved
27,product_quality,1027,Customer_27,Nigeria,Mobile App,The Sunscreen does not perform as advertised.,Sunscreen,2,Quality Control Department,2025-05-16,resolved
28,delivery,1028,Customer_28,Ghana,Email,My Concealer order arrived much later than expected.,Concealer,2,Delivery Department,2025-10-24,awaiting
29,product_quality,1029,Customer_29,Algeria,Phone Call,the eyeshadow does not perform as advertised.,Eyeshadow,3,Quality Control Department,2025-01-30,awaiting
30,packaging,1030,Customer_30,Kenya,Email,the foundation arrived with damaged packaging and i am disappointed. please help!!!,Foundation,5,Packaging Department,2025-10-19,in_progress
31,product_quality,1031,Customer_31,Egypt,Website,The Cleanser does not perform as advertised.,Cleanser,3,Quality Control Department,2025-05-14,in_progress
32,refund,1032,Customer_32,Morocco,Mobile App,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,4,Customer Support,2025-06-11,in_progress
33,packaging,1033,Customer_33,Ghana,Website,The Primer arrived with damaged packaging and I am disappointed.,Primer,1,Packaging Department,2025-03-09,resolved
34,customer_service,1034,Customer_34,Tunisia,Website,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,4,Customer Support,2025-11-10,awaiting
35,product_quality,1035,Customer_35,Ghana,Website,The Kohl does not perform as advertised.,Kohl,4,Quality Control Department,2025-03-01,in_progress
36,billing,1036,Customer_36,Ghana,Website,I was charged twice for my Foundation purchase.,Foundation,4,Finance Department,2025-09-16,resolved
37,delivery,1037,Customer_37,Nigeria,Website,my cleanser order arrived much later than expected.,Cleanser,3,Delivery Department,2025-03-08,awaiting
38,customer_service,1038,Customer_38,Nigeria,Email,I contacted support about my Foundation and never received a helpful response.,Foundation,3,Customer Support,2025-02-08,awaiting
39,customer_service,1039,Customer_39,Kenya,Phone Call,i contacted support about my concealer and never received a helpful response.,Concealer,3,Customer Support,2025-01-22,resolved
40,product_quality,1040,Customer_40,Nigeria,Website,The Cleanser does not perform as advertised.,Cleanser,2,Quality Control Department,2025-10-14,resolved
41,customer_service,1041,Customer_41,Algeria,Phone Call,I contacted support about my Foundation and never received a helpful response.,Foundation,2,Customer Support,2025-07-31,in_progress
42,packaging,1042,Customer_42,Tunisia,Phone Call,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,4,Packaging Department,2025-05-17,in_progress
43,billing,1043,Customer_43,Ghana,Mobile App,I was charged twice for my Lipstick purchase. please help!!!,Lipstick,3,Finance Department,2025-06-29,resolved
44,customer_service,1044,Customer_44,Morocco,Email,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,3,Customer Support,2025-05-23,resolved
45,refund,1045,Customer_45,Nigeria,Email,I requested a refund for my Body Lotion but have not received it.,Body Lotion,3,Customer Support,2025-05-14,in_progress
46,product_quality,1046,Customer_46,Algeria,Website,the eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-08-12,awaiting
47,customer_service,1047,Customer_47,Tunisia,Mobile App,I contacted support about my Lipstick and never received a helpful response.,Lipstick,2,Customer Support,2025-01-01,awaiting
48,customer_service,1048,Customer_48,Ghana,Website,I contacted support about my Concealer and never received a helpful response.,Concealer,4,Customer Support,2025-08-09,in_progress
49,customer_service,1049,Customer_49,Morocco,Website,I contacted support about my Eyeshadow and never received a helpful response.,Eyeshadow,2,Customer Support,2025-12-08,resolved
50,delivery,1050,Customer_50,Kenya,Phone Call,My Eyeliner order arrived much later than expected.,Eyeliner,4,Delivery Department,2025-11-12,awaiting
51,delivery,1051,Customer_51,Algeria,Website,My Concealer order arrived much later than expected.,Concealer,2,Delivery Department,2025-08-27,resolved
52,product_quality,1052,Customer_52,Tunisia,Phone Call,The Sunscreen does not perform as advertised.,Sunscreen,5,Quality Control Department,2025-12-04,in_progress
53,delivery,1053,Customer_53,Algeria,Phone Call,My Kohl order arrived much later than expected.,Kohl,4,Delivery Department,2025-12-11,resolved
54,delivery,1054,Customer_54,Egypt,Email,my sunscreen order arrived much later than expected. please help!!!,Sunscreen,5,Delivery Department,2025-08-22,resolved
55,customer_service,1055,Customer_55,Ghana,Phone Call,I contacted support about my Primer and never received a helpful response.,Primer,3,Customer Support,2025-12-02,awaiting
56,packaging,1056,Customer_56,Tunisia,Mobile App,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,4,Packaging Department,2025-01-26,awaiting
57,delivery,1057,Customer_57,Egypt,Website,My Lipstick order arrived much later than expected.,Lipstick,4,Delivery Department,2025-08-15,awaiting
58,billing,1058,Customer_58,Ghana,Mobile App,I was charged twice for my Concealer purchase.,Concealer,3,Finance Department,2025-08-19,resolved
59,billing,1059,Customer_59,Ghana,Website,I was charged twice for my Kohl purchase.,Kohl,3,Finance Department,2025-08-14,in_progress
60,refund,1060,Customer_60,Ghana,Phone Call,I requested a refund for my Sunscreen but have not received it.,Sunscreen,3,Customer Support,2025-04-29,resolved
61,refund,1061,Customer_61,Kenya,Email,i requested a refund for my sunscreen but have not received it.,Sunscreen,3,Customer Support,2025-04-16,resolved
62,product_quality,1062,Customer_62,Egypt,Mobile App,The Primer does not perform as advertised. please help!!!,Primer,5,Quality Control Department,2025-09-02,in_progress
63,customer_service,1063,Customer_63,Kenya,Phone Call,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,5,Customer Support,2025-09-07,in_progress
64,delivery,1064,Customer_64,Kenya,Phone Call,my blush order arrived much later than expected.,Blush,4,Delivery Department,2025-08-28,in_progress
65,customer_service,1065,Customer_65,Nigeria,Email,i contacted support about my concealer and never received a helpful response.,Concealer,3,Customer Support,2025-11-26,resolved
66,packaging,1066,Customer_66,Kenya,Website,The Blush arrived with damaged packaging and I am disappointed.,Blush,3,Packaging Department,2025-06-22,resolved
67,delivery,1067,Customer_67,Egypt,Email,My Body Lotion order arrived much later than expected.,Body Lotion,1,Delivery Department,2025-06-29,in_progress
68,refund,1068,Customer_68,Algeria,Email,i requested a refund for my kohl but have not received it. please help!!!,Kohl,2,Customer Support,2025-11-15,in_progress
69,delivery,1069,Customer_69,Tunisia,Website,My Blush order arrived much later than expected.,Blush,2,Delivery Department,2025-07-08,in_progress
70,refund,1070,Customer_70,Egypt,Email,I requested a refund for my Lipstick but have not received it.,Lipstick,3,Customer Support,2025-06-09,awaiting
71,refund,1071,Customer_71,Tunisia,Phone Call,I requested a refund for my Body Lotion but have not received it.,Body Lotion,1,Customer Support,2025-02-22,awaiting
72,billing,1072,Customer_72,Algeria,Email,I was charged twice for my Kohl purchase.,Kohl,5,Finance Department,2025-06-27,awaiting
73,product_quality,1073,Customer_73,Kenya,Mobile App,the eyeshadow does not perform as advertised.,Eyeshadow,1,Quality Control Department,2025-02-24,resolved
74,customer_service,1074,Customer_74,Ghana,Website,I contacted support about my Kohl and never received a helpful response.,Kohl,2,Customer Support,2025-11-12,awaiting
75,billing,1075,Customer_75,Algeria,Phone Call,I was charged twice for my Blush purchase.,Blush,3,Finance Department,2025-02-14,resolved
76,customer_service,1076,Customer_76,Morocco,Email,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,4,Customer Support,2025-09-11,resolved
77,delivery,1077,Customer_77,Egypt,Website,My Sunscreen order arrived much later than expected.,Sunscreen,3,Delivery Department,2025-10-12,in_progress
78,product_quality,1078,Customer_78,Algeria,Phone Call,the sunscreen does not perform as advertised.,Sunscreen,3,Quality Control Department,2025-12-20,resolved
79,refund,1079,Customer_79,Kenya,Phone Call,I requested a refund for my Blush but have not received it. please help!!!,Blush,3,Customer Support,2025-06-06,awaiting
80,product_quality,1080,Customer_80,Egypt,Website,The Blush does not perform as advertised.,Blush,5,Quality Control Department,2025-06-30,awaiting
81,product_quality,1081,Customer_81,Nigeria,Phone Call,The Eyeliner does not perform as advertised.,Eyeliner,2,Quality Control Department,2025-04-09,in_progress
82,billing,1082,Customer_82,Morocco,Email,I was charged twice for my Eyeliner purchase.,Eyeliner,3,Finance Department,2025-04-10,resolved
83,delivery,1083,Customer_83,Nigeria,Email,My Foundation order arrived much later than expected.,Foundation,2,Delivery Department,2025-10-11,resolved
84,refund,1084,Customer_84,Nigeria,Website,I requested a refund for my Foundation but have not received it.,Foundation,2,Customer Support,2025-08-29,resolved
85,product_quality,1085,Customer_85,Nigeria,Email,The Foundation does not perform as advertised.,Foundation,5,Quality Control Department,2025-07-25,resolved
86,packaging,1086,Customer_86,Morocco,Email,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,4,Packaging Department,2025-05-08,in_progress
87,product_quality,1087,Customer_87,Egypt,Mobile App,The Body Lotion does not perform as advertised.,Body Lotion,2,Quality Control Department,2025-08-19,resolved
88,delivery,1088,Customer_88,Egypt,Email,My Primer order arrived much later than expected.,Primer,4,Delivery Department,2025-04-17,awaiting
89,delivery,1089,Customer_89,Ghana,Email,my kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-07-29,resolved
90,refund,1090,Customer_90,Tunisia,Mobile App,I requested a refund for my Blush but have not received it.,Blush,4,Customer Support,2025-02-06,awaiting
91,delivery,1091,Customer_91,Ghana,Mobile App,My Eyeliner order arrived much later than expected.,Eyeliner,4,Delivery Department,2025-02-28,awaiting
92,delivery,1092,Customer_92,Ghana,Website,My Foundation order arrived much later than expected.,Foundation,1,Delivery Department,2025-11-01,awaiting
93,customer_service,1093,Customer_93,Kenya,Website,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,3,Customer Support,2025-09-14,awaiting
94,product_quality,1094,Customer_94,Egypt,Website,The Lipstick does not perform as advertised.,Lipstick,4,Quality Control Department,2025-01-14,in_progress
95,delivery,1095,Customer_95,Algeria,Website,My Kohl order arrived much later than expected.,Kohl,5,Delivery Department,2025-10-23,in_progress
96,billing,1096,Customer_96,Ghana,Mobile App,I was charged twice for my Foundation purchase.,Foundation,5,Finance Department,2025-11-22,resolved
97,customer_service,1097,Customer_97,Algeria,Phone Call,I contacted support about my Blush and never received a helpful response.,Blush,4,Customer Support,2025-06-18,resolved
98,refund,1098,Customer_98,Nigeria,Mobile App,I requested a refund for my Eyeliner but have not received it.,Eyeliner,4,Customer Support,2025-02-15,resolved
99,delivery,1099,Customer_99,Nigeria,Mobile App,My Lipstick order arrived much later than expected.,Lipstick,3,Delivery Department,2025-07-31,in_progress
100,delivery,1100,Customer_100,Nigeria,Phone Call,My Eyeshadow order arrived much later than expected.,Eyeshadow,3,Delivery Department,2025-05-17,awaiting
101,packaging,1101,Customer_101,Tunisia,Phone Call,The Eyeliner arrived with damaged packaging and I am disappointed.,Eyeliner,2,Packaging Department,2025-12-30,in_progress
102,delivery,1102,Customer_102,Nigeria,Mobile App,My Cleanser order arrived much later than expected.,Cleanser,5,Delivery Department,2025-03-02,awaiting
103,customer_service,1103,Customer_103,Kenya,Mobile App,I contacted support about my Blush and never received a helpful response.,Blush,4,Customer Support,2025-08-30,in_progress
104,product_quality,1104,Customer_104,Ghana,Email,The Foundation does not perform as advertised.,Foundation,3,Quality Control Department,2025-05-22,resolved
105,delivery,1105,Customer_105,Algeria,Mobile App,My Concealer order arrived much later than expected. please help!!!,Concealer,4,Delivery Department,2025-03-18,resolved
106,product_quality,1106,Customer_106,Morocco,Phone Call,The Eyeshadow does not perform as advertised.,Eyeshadow,3,Quality Control Department,2025-12-24,in_progress
107,product_quality,1107,Customer_107,Kenya,Mobile App,The Sunscreen does not perform as advertised.,Sunscreen,3,Quality Control Department,2025-07-17,awaiting
108,billing,1108,Customer_108,Egypt,Website,I was charged twice for my Kohl purchase.,Kohl,1,Finance Department,2025-02-21,resolved
109,packaging,1109,Customer_109,Ghana,Email,the blush arrived with damaged packaging and i am disappointed.,Blush,5,Packaging Department,2025-08-29,resolved
110,delivery,1110,Customer_110,Algeria,Mobile App,My Body Lotion order arrived much later than expected.,Body Lotion,5,Delivery Department,2025-06-12,awaiting
111,refund,1111,Customer_111,Tunisia,Website,I requested a refund for my Blush but have not received it. please help!!!,Blush,1,Customer Support,2025-04-27,awaiting
112,packaging,1112,Customer_112,Ghana,Website,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,2,Packaging Department,2025-01-15,in_progress
113,delivery,1113,Customer_113,Egypt,Mobile App,My Cleanser order arrived much later than expected.,Cleanser,2,Delivery Department,2025-10-17,awaiting
114,billing,1114,Customer_114,Tunisia,Phone Call,I was charged twice for my Foundation purchase.,Foundation,3,Finance Department,2025-09-12,awaiting
115,packaging,1115,Customer_115,Algeria,Mobile App,The Blush arrived with damaged packaging and I am disappointed.,Blush,4,Packaging Department,2025-05-28,awaiting
116,product_quality,1116,Customer_116,Tunisia,Mobile App,The Lipstick does not perform as advertised.,Lipstick,3,Quality Control Department,2025-12-20,resolved
117,product_quality,1117,Customer_117,Ghana,Mobile App,The Eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-10-20,resolved
118,product_quality,1118,Customer_118,Nigeria,Email,the eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-11-07,awaiting
119,product_quality,1119,Customer_119,Ghana,Phone Call,The Eyeliner does not perform as advertised.,Eyeliner,4,Quality Control Department,2025-11-14,resolved
120,refund,1120,Customer_120,Tunisia,Email,I requested a refund for my Kohl but have not received it.,Kohl,2,Customer Support,2025-06-08,resolved
121,packaging,1121,Customer_121,Tunisia,Mobile App,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,3,Packaging Department,2025-03-31,in_progress
122,packaging,1122,Customer_122,Morocco,Phone Call,The Concealer arrived with damaged packaging and I am disappointed.,Concealer,3,Packaging Department,2025-05-12,resolved
123,customer_service,1123,Customer_123,Nigeria,Phone Call,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,2,Customer Support,2025-04-26,awaiting
124,billing,1124,Customer_124,Algeria,Mobile App,I was charged twice for my Body Lotion purchase.,Body Lotion,3,Finance Department,2025-01-08,resolved
125,product_quality,1125,Customer_125,Kenya,Website,The Blush does not perform as advertised.,Blush,3,Quality Control Department,2025-02-25,awaiting
126,delivery,1126,Customer_126,Egypt,Phone Call,My Cleanser order arrived much later than expected.,Cleanser,3,Delivery Department,2025-11-28,in_progress
127,refund,1127,Customer_127,Ghana,Email,I requested a refund for my Blush but have not received it.,Blush,3,Customer Support,2025-01-20,resolved
128,customer_service,1128,Customer_128,Kenya,Website,i contacted support about my lipstick and never received a helpful response.,Lipstick,2,Customer Support,2025-12-10,awaiting
129,refund,1129,Customer_129,Kenya,Email,I requested a refund for my Concealer but have not received it.,Concealer,2,Customer Support,2025-09-08,awaiting
130,product_quality,1130,Customer_130,Ghana,Website,the eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-02-20,awaiting
131,product_quality,1131,Customer_131,Nigeria,Mobile App,The Kohl does not perform as advertised.,Kohl,2,Quality Control Department,2025-02-16,awaiting
132,delivery,1132,Customer_132,Ghana,Phone Call,My Kohl order arrived much later than expected. please help!!!,Kohl,4,Delivery Department,2025-10-17,in_progress
133,packaging,1133,Customer_133,Morocco,Phone Call,The Concealer arrived with damaged packaging and I am disappointed.,Concealer,5,Packaging Department,2025-11-02,in_progress
134,delivery,1134,Customer_134,Nigeria,Email,My Foundation order arrived much later than expected.,Foundation,4,Delivery Department,2025-03-09,in_progress
135,delivery,1135,Customer_135,Ghana,Mobile App,My Sunscreen order arrived much later than expected. please help!!!,Sunscreen,3,Delivery Department,2025-09-27,in_progress
136,billing,1136,Customer_136,Kenya,Phone Call,I was charged twice for my Blush purchase.,Blush,3,Finance Department,2025-11-11,in_progress
137,billing,1137,Customer_137,Nigeria,Mobile App,I was charged twice for my Kohl purchase.,Kohl,5,Finance Department,2025-07-25,resolved
138,refund,1138,Customer_138,Morocco,Phone Call,I requested a refund for my Blush but have not received it.,Blush,5,Customer Support,2025-02-03,in_progress
139,delivery,1139,Customer_139,Egypt,Website,My Kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-08-21,awaiting
140,refund,1140,Customer_140,Algeria,Phone Call,I requested a refund for my Lipstick but have not received it.,Lipstick,4,Customer Support,2025-08-09,resolved
141,customer_service,1141,Customer_141,Nigeria,Website,I contacted support about my Body Lotion and never received a helpful response.,Body Lotion,3,Customer Support,2025-08-07,resolved
142,refund,1142,Customer_142,Nigeria,Email,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,3,Customer Support,2025-02-17,resolved
143,packaging,1143,Customer_143,Egypt,Website,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,3,Packaging Department,2025-12-10,in_progress
144,product_quality,1144,Customer_144,Nigeria,Website,The Kohl does not perform as advertised.,Kohl,5,Quality Control Department,2025-11-04,resolved
145,delivery,1145,Customer_145,Algeria,Email,My Primer order arrived much later than expected.,Primer,3,Delivery Department,2025-06-29,awaiting
146,product_quality,1146,Customer_146,Algeria,Email,The Eyeliner does not perform as advertised.,Eyeliner,5,Quality Control Department,2025-11-08,awaiting
147,customer_service,1147,Customer_147,Morocco,Website,i contacted support about my eyeliner and never received a helpful response.,Eyeliner,4,Customer Support,2025-01-04,in_progress
148,customer_service,1148,Customer_148,Nigeria,Email,I contacted support about my Primer and never received a helpful response. please help!!!,Primer,4,Customer Support,2025-09-29,in_progress
149,product_quality,1149,Customer_149,Algeria,Email,The Blush does not perform as advertised.,Blush,4,Quality Control Department,2025-01-27,in_progress
150,packaging,1150,Customer_150,Kenya,Mobile App,the primer arrived with damaged packaging and i am disappointed.,Primer,3,Packaging Department,2025-11-07,resolved
151,product_quality,1151,Customer_151,Morocco,Mobile App,The Sunscreen does not perform as advertised.,Sunscreen,3,Quality Control Department,2025-09-27,awaiting
152,delivery,1152,Customer_152,Morocco,Phone Call,My Sunscreen order arrived much later than expected.,Sunscreen,1,Delivery Department,2025-03-12,resolved
153,delivery,1153,Customer_153,Kenya,Phone Call,my lipstick order arrived much later than expected.,Lipstick,2,Delivery Department,2025-09-14,awaiting
154,customer_service,1154,Customer_154,Nigeria,Mobile App,i contacted support about my eyeshadow and never received a helpful response.,Eyeshadow,1,Customer Support,2025-02-09,resolved
155,product_quality,1155,Customer_155,Kenya,Email,The Primer does not perform as advertised.,Primer,3,Quality Control Department,2025-06-16,in_progress
156,billing,1156,Customer_156,Kenya,Email,I was charged twice for my Primer purchase.,Primer,3,Finance Department,2025-05-05,resolved
157,product_quality,1157,Customer_157,Ghana,Website,the concealer does not perform as advertised.,Concealer,4,Quality Control Department,2025-03-28,in_progress
158,product_quality,1158,Customer_158,Morocco,Phone Call,The Lipstick does not perform as advertised.,Lipstick,4,Quality Control Department,2025-05-01,in_progress
159,packaging,1159,Customer_159,Nigeria,Phone Call,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,4,Packaging Department,2025-11-18,resolved
160,product_quality,1160,Customer_160,Egypt,Website,The Primer does not perform as advertised.,Primer,5,Quality Control Department,2025-11-18,resolved
161,packaging,1161,Customer_161,Egypt,Email,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,4,Packaging Department,2025-06-30,awaiting
162,packaging,1162,Customer_162,Nigeria,Email,The Blush arrived with damaged packaging and I am disappointed. please help!!!,Blush,4,Packaging Department,2025-11-11,awaiting
163,product_quality,1163,Customer_163,Nigeria,Mobile App,The Blush does not perform as advertised.,Blush,4,Quality Control Department,2025-10-20,awaiting
164,delivery,1164,Customer_164,Nigeria,Website,My Primer order arrived much later than expected.,Primer,1,Delivery Department,2026-01-01,in_progress
165,product_quality,1165,Customer_165,Egypt,Phone Call,the foundation does not perform as advertised.,Foundation,5,Quality Control Department,2025-07-06,resolved
166,customer_service,1166,Customer_166,Algeria,Website,I contacted support about my Body Lotion and never received a helpful response.,Body Lotion,3,Customer Support,2025-02-03,resolved
167,packaging,1167,Customer_167,Egypt,Phone Call,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,5,Packaging Department,2025-06-20,in_progress
168,product_quality,1168,Customer_168,Tunisia,Mobile App,The Foundation does not perform as advertised.,Foundation,4,Quality Control Department,2025-03-08,awaiting
169,refund,1169,Customer_169,Algeria,Phone Call,I requested a refund for my Lipstick but have not received it.,Lipstick,4,Customer Support,2025-12-10,awaiting
170,customer_service,1170,Customer_170,Egypt,Website,I contacted support about my Kohl and never received a helpful response.,Kohl,4,Customer Support,2025-01-10,resolved
171,delivery,1171,Customer_171,Ghana,Phone Call,My Sunscreen order arrived much later than expected.,Sunscreen,2,Delivery Department,2025-02-09,resolved
172,customer_service,1172,Customer_172,Egypt,Email,I contacted support about my Lipstick and never received a helpful response.,Lipstick,4,Customer Support,2025-12-05,resolved
173,customer_service,1173,Customer_173,Algeria,Phone Call,i contacted support about my primer and never received a helpful response.,Primer,2,Customer Support,2025-08-13,in_progress
174,product_quality,1174,Customer_174,Algeria,Mobile App,The Kohl does not perform as advertised.,Kohl,4,Quality Control Department,2025-04-30,awaiting
175,delivery,1175,Customer_175,Egypt,Mobile App,My Blush order arrived much later than expected.,Blush,4,Delivery Department,2025-08-25,resolved
176,billing,1176,Customer_176,Algeria,Phone Call,I was charged twice for my Concealer purchase.,Concealer,4,Finance Department,2025-05-09,in_progress
177,refund,1177,Customer_177,Algeria,Email,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,5,Customer Support,2025-05-26,in_progress
178,billing,1178,Customer_178,Nigeria,Phone Call,I was charged twice for my Eyeliner purchase.,Eyeliner,4,Finance Department,2025-08-19,resolved
179,customer_service,1179,Customer_179,Nigeria,Website,i contacted support about my body lotion and never received a helpful response.,Body Lotion,2,Customer Support,2025-04-25,in_progress
180,delivery,1180,Customer_180,Ghana,Email,My Lipstick order arrived much later than expected.,Lipstick,4,Delivery Department,2025-05-27,resolved
181,refund,1181,Customer_181,Nigeria,Email,I requested a refund for my Foundation but have not received it.,Foundation,4,Customer Support,2025-05-12,in_progress
182,customer_service,1182,Customer_182,Algeria,Website,I contacted support about my Concealer and never received a helpful response.,Concealer,3,Customer Support,2025-05-02,resolved
183,packaging,1183,Customer_183,Nigeria,Mobile App,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,3,Packaging Department,2025-11-02,awaiting
184,packaging,1184,Customer_184,Nigeria,Website,The Concealer arrived with damaged packaging and I am disappointed.,Concealer,3,Packaging Department,2025-05-04,awaiting
185,product_quality,1185,Customer_185,Egypt,Email,The Kohl does not perform as advertised.,Kohl,3,Quality Control Department,2025-07-19,resolved
186,packaging,1186,Customer_186,Algeria,Email,The Body Lotion arrived with damaged packaging and I am disappointed.,Body Lotion,1,Packaging Department,2025-06-26,in_progress
187,billing,1187,Customer_187,Ghana,Email,i was charged twice for my kohl purchase.,Kohl,4,Finance Department,2025-06-30,awaiting
188,delivery,1188,Customer_188,Tunisia,Mobile App,My Kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-11-20,in_progress
189,billing,1189,Customer_189,Ghana,Email,I was charged twice for my Lipstick purchase.,Lipstick,1,Finance Department,2025-04-13,in_progress
190,delivery,1190,Customer_190,Morocco,Email,My Eyeliner order arrived much later than expected.,Eyeliner,3,Delivery Department,2025-11-28,in_progress
191,delivery,1191,Customer_191,Morocco,Mobile App,My Cleanser order arrived much later than expected.,Cleanser,2,Delivery Department,2025-07-24,awaiting
192,product_quality,1192,Customer_192,Morocco,Website,The Body Lotion does not perform as advertised.,Body Lotion,4,Quality Control Department,2025-02-12,awaiting
193,product_quality,1193,Customer_193,Morocco,Email,The Body Lotion does not perform as advertised.,Body Lotion,3,Quality Control Department,2025-02-10,resolved
194,refund,1194,Customer_194,Kenya,Website,I requested a refund for my Eyeliner but have not received it.,Eyeliner,2,Customer Support,2025-08-17,in_progress
195,billing,1195,Customer_195,Algeria,Email,I was charged twice for my Eyeshadow purchase.,Eyeshadow,4,Finance Department,2025-02-08,awaiting
196,refund,1196,Customer_196,Nigeria,Phone Call,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,2,Customer Support,2025-11-08,awaiting
