new_complaint_id,new_complaint_category,new_customer_id,new_customer_name,new_customer_country,new_communication_channel,new_complaint_description,new_complaint_product_type,new_complaint_priority,new_department_assigend,new_complaint_date,new_complaint_status,complaints_description_length,cleaned_complaints
50,delivery,1050,Customer_50,Kenya,Phone Call,My Eyeliner order arrived much later than expected.,Eyeliner,4,Delivery Department,2025-11-12,awaiting,51,eyeliner order arrived much later expected
51,delivery,1051,Customer_51,Algeria,Website,My Concealer order arrived much later than expected.,Concealer,2,Delivery Department,2025-08-27,resolved,52,concealer order arrived much later expected
52,product_quality,1052,Customer_52,Tunisia,Phone Call,The Sunscreen does not perform as advertised.,Sunscreen,5,Quality Control Department,2025-12-04,in_progress,45,sunscreen perform advertised
53,delivery,1053,Customer_53,Algeria,Phone Call,My Kohl order arrived much later than expected.,Kohl,4,Delivery Department,2025-12-11,resolved,47,kohl order arrived much later expected
54,delivery,1054,Customer_54,Egypt,Email,my sunscreen order arrived much later than expected. please help!!!,Sunscreen,5,Delivery Department,2025-08-22,resolved,67,sunscreen order arrived much later expected please help
55,customer_service,1055,Customer_55,Ghana,Phone Call,I contacted support about my Primer and never received a helpful response.,Primer,3,Customer Support,2025-12-02,awaiting,74,contacted support primer never received helpful response
56,packaging,1056,Customer_56,Tunisia,Mobile App,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,4,Packaging Department,2025-01-26,awaiting,66,lipstick arrived damaged packaging disappointed
57,delivery,1057,Customer_57,Egypt,Website,My Lipstick order arrived much later than expected.,Lipstick,4,Delivery Department,2025-08-15,awaiting,51,lipstick order arrived much later expected
58,billing,1058,Customer_58,Ghana,Mobile App,I was charged twice for my Concealer purchase.,Concealer,3,Finance Department,2025-08-19,resolved,46,charged twice concealer purchase
59,billing,1059,Customer_59,Ghana,Website,I was charged twice for my Kohl purchase.,Kohl,3,Finance Department,2025-08-14,in_progress,41,charged twice kohl purchase
60,refund,1060,Customer_60,Ghana,Phone Call,I requested a refund for my Sunscreen but have not received it.,Sunscreen,3,Customer Support,2025-04-29,resolved,63,requested refund sunscreen received
61,refund,1061,Customer_61,Kenya,Email,i requested a refund for my sunscreen but have not received it.,Sunscreen,3,Customer Support,2025-04-16,resolved,63,requested refund sunscreen received
62,product_quality,1062,Customer_62,Egypt,Mobile App,The Primer does not perform as advertised. please help!!!,Primer,5,Quality Control Department,2025-09-02,in_progress,57,primer perform advertised please help
63,customer_service,1063,Customer_63,Kenya,Phone Call,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,5,Customer Support,2025-09-07,in_progress,76,contacted support eyeliner never received helpful response
64,delivery,1064,Customer_64,Kenya,Phone Call,my blush order arrived much later than expected.,Blush,4,Delivery Department,2025-08-28,in_progress,48,blush order arrived much later expected
65,customer_service,1065,Customer_65,Nigeria,Email,i contacted support about my concealer and never received a helpful response.,Concealer,3,Customer Support,2025-11-26,resolved,77,contacted support concealer never received helpful response
66,packaging,1066,Customer_66,Kenya,Website,The Blush arrived with damaged packaging and I am disappointed.,Blush,3,Packaging Department,2025-06-22,resolved,63,blush arrived damaged packaging disappointed
67,delivery,1067,Customer_67,Egypt,Email,My Body Lotion order arrived much later than expected.,Body Lotion,1,Delivery Department,2025-06-29,in_progress,54,body lotion order arrived much later expected
68,refund,1068,Customer_68,Algeria,Email,i requested a refund for my kohl but have not received it. please help!!!,Kohl,2,Customer Support,2025-11-15,in_progress,73,requested refund kohl received please help
69,delivery,1069,Customer_69,Tunisia,Website,My Blush order arrived much later than expected.,Blush,2,Delivery Department,2025-07-08,in_progress,48,blush order arrived much later expected
70,refund,1070,Customer_70,Egypt,Email,I requested a refund for my Lipstick but have not received it.,Lipstick,3,Customer Support,2025-06-09,awaiting,62,requested refund lipstick received
71,refund,1071,Customer_71,Tunisia,Phone Call,I requested a refund for my Body Lotion but have not received it.,Body Lotion,1,Customer Support,2025-02-22,awaiting,65,requested refund body lotion received
72,billing,1072,Customer_72,Algeria,Email,I was charged twice for my Kohl purchase.,Kohl,5,Finance Department,2025-06-27,awaiting,41,charged twice kohl purchase
73,product_quality,1073,Customer_73,Kenya,Mobile App,the eyeshadow does not perform as advertised.,Eyeshadow,1,Quality Control Department,2025-02-24,resolved,45,eyeshadow perform advertised
74,customer_service,1074,Customer_74,Ghana,Website,I contacted support about my Kohl and never received a helpful response.,Kohl,2,Customer Support,2025-11-12,awaiting,72,contacted support kohl never received helpful response
75,billing,1075,Customer_75,Algeria,Phone Call,I was charged twice for my Blush purchase.,Blush,3,Finance Department,2025-02-14,resolved,42,charged twice blush purchase
76,customer_service,1076,Customer_76,Morocco,Email,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,4,Customer Support,2025-09-11,resolved,77,contacted support sunscreen never received helpful response
77,delivery,1077,Customer_77,Egypt,Website,My Sunscreen order arrived much later than expected.,Sunscreen,3,Delivery Department,2025-10-12,in_progress,52,sunscreen order arrived much later expected
78,product_quality,1078,Customer_78,Algeria,Phone Call,the sunscreen does not perform as advertised.,Sunscreen,3,Quality Control Department,2025-12-20,resolved,45,sunscreen perform advertised
79,refund,1079,Customer_79,Kenya,Phone Call,I requested a refund for my Blush but have not received it. please help!!!,Blush,3,Customer Support,2025-06-06,awaiting,74,requested refund blush received please help
80,product_quality,1080,Customer_80,Egypt,Website,The Blush does not perform as advertised.,Blush,5,Quality Control Department,2025-06-30,awaiting,41,blush perform advertised
81,product_quality,1081,Customer_81,Nigeria,Phone Call,The Eyeliner does not perform as advertised.,Eyeliner,2,Quality Control Department,2025-04-09,in_progress,44,eyeliner perform advertised
82,billing,1082,Customer_82,Morocco,Email,I was charged twice for my Eyeliner purchase.,Eyeliner,3,Finance Department,2025-04-10,resolved,45,charged twice eyeliner purchase
83,delivery,1083,Customer_83,Nigeria,Email,My Foundation order arrived much later than expected.,Foundation,2,Delivery Department,2025-10-11,resolved,53,foundation order arrived much later expected
84,refund,1084,Customer_84,Nigeria,Website,I requested a refund for my Foundation but have not received it.,Foundation,2,Customer Support,2025-08-29,resolved,64,requested refund foundation received
85,product_quality,1085,Customer_85,Nigeria,Email,The Foundation does not perform as advertised.,Foundation,5,Quality Control Department,2025-07-25,resolved,46,foundation perform advertised
86,packaging,1086,Customer_86,Morocco,Email,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,4,Packaging Department,2025-05-08,in_progress,62,kohl arrived damaged packaging disappointed
87,product_quality,1087,Customer_87,Egypt,Mobile App,The Body Lotion does not perform as advertised.,Body Lotion,2,Quality Control Department,2025-08-19,resolved,47,body lotion perform advertised
88,delivery,1088,Customer_88,Egypt,Email,My Primer order arrived much later than expected.,Primer,4,Delivery Department,2025-04-17,awaiting,49,primer order arrived much later expected
89,delivery,1089,Customer_89,Ghana,Email,my kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-07-29,resolved,47,kohl order arrived much later expected
90,refund,1090,Customer_90,Tunisia,Mobile App,I requested a refund for my Blush but have not received it.,Blush,4,Customer Support,2025-02-06,awaiting,59,requested refund blush received
91,delivery,1091,Customer_91,Ghana,Mobile App,My Eyeliner order arrived much later than expected.,Eyeliner,4,Delivery Department,2025-02-28,awaiting,51,eyeliner order arrived much later expected
92,delivery,1092,Customer_92,Ghana,Website,My Foundation order arrived much later than expected.,Foundation,1,Delivery Department,2025-11-01,awaiting,53,foundation order arrived much later expected
93,customer_service,1093,Customer_93,Kenya,Website,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,3,Customer Support,2025-09-14,awaiting,76,contacted support eyeliner never received helpful response
94,product_quality,1094,Customer_94,Egypt,Website,The Lipstick does not perform as advertised.,Lipstick,4,Quality Control Department,2025-01-14,in_progress,44,lipstick perform advertised
95,delivery,1095,Customer_95,Algeria,Website,My Kohl order arrived much later than expected.,Kohl,5,Delivery Department,2025-10-23,in_progress,47,kohl order arrived much later expected
96,billing,1096,Customer_96,Ghana,Mobile App,I was charged twice for my Foundation purchase.,Foundation,5,Finance Department,2025-11-22,resolved,47,charged twice foundation purchase
97,customer_service,1097,Customer_97,Algeria,Phone Call,I contacted support about my Blush and never received a helpful response.,Blush,4,Customer Support,2025-06-18,resolved,73,contacted support blush never received helpful response
98,refund,1098,Customer_98,Nigeria,Mobile App,I requested a refund for my Eyeliner but have not received it.,Eyeliner,4,Customer Support,2025-02-15,resolved,62,requested refund eyeliner received
99,delivery,1099,Customer_99,Nigeria,Mobile App,My Lipstick order arrived much later than expected.,Lipstick,3,Delivery Department,2025-07-31,in_progress,51,lipstick order arrived much later expected
100,delivery,1100,Customer_100,Nigeria,Phone Call,My Eyeshadow order arrived much later than expected.,Eyeshadow,3,Delivery Department,2025-05-17,awaiting,52,eyeshadow order arrived much later expected
101,packaging,1101,Customer_101,Tunisia,Phone Call,The Eyeliner arrived with damaged packaging and I am disappointed.,Eyeliner,2,Packaging Department,2025-12-30,in_progress,66,eyeliner arrived damaged packaging disappointed
102,delivery,1102,Customer_102,Nigeria,Mobile App,My Cleanser order arrived much later than expected.,Cleanser,5,Delivery Department,2025-03-02,awaiting,51,cleanser order arrived much later expected
103,customer_service,1103,Customer_103,Kenya,Mobile App,I contacted support about my Blush and never received a helpful response.,Blush,4,Customer Support,2025-08-30,in_progress,73,contacted support blush never received helpful response
104,product_quality,1104,Customer_104,Ghana,Email,The Foundation does not perform as advertised.,Foundation,3,Quality Control Department,2025-05-22,resolved,46,foundation perform advertised
105,delivery,1105,Customer_105,Algeria,Mobile App,My Concealer order arrived much later than expected. please help!!!,Concealer,4,Delivery Department,2025-03-18,resolved,67,concealer order arrived much later expected please help
106,product_quality,1106,Customer_106,Morocco,Phone Call,The Eyeshadow does not perform as advertised.,Eyeshadow,3,Quality Control Department,2025-12-24,in_progress,45,eyeshadow perform advertised
107,product_quality,1107,Customer_107,Kenya,Mobile App,The Sunscreen does not perform as advertised.,Sunscreen,3,Quality Control Department,2025-07-17,awaiting,45,sunscreen perform advertised
108,billing,1108,Customer_108,Egypt,Website,I was charged twice for my Kohl purchase.,Kohl,1,Finance Department,2025-02-21,resolved,41,charged twice kohl purchase
109,packaging,1109,Customer_109,Ghana,Email,the blush arrived with damaged packaging and i am disappointed.,Blush,5,Packaging Department,2025-08-29,resolved,63,blush arrived damaged packaging disappointed
110,delivery,1110,Customer_110,Algeria,Mobile App,My Body Lotion order arrived much later than expected.,Body Lotion,5,Delivery Department,2025-06-12,awaiting,54,body lotion order arrived much later expected
111,refund,1111,Customer_111,Tunisia,Website,I requested a refund for my Blush but have not received it. please help!!!,Blush,1,Customer Support,2025-04-27,awaiting,74,requested refund blush received please help
112,packaging,1112,Customer_112,Ghana,Website,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,2,Packaging Department,2025-01-15,in_progress,66,lipstick arrived damaged packaging disappointed
113,delivery,1113,Customer_113,Egypt,Mobile App,My Cleanser order arrived much later than expected.,Cleanser,2,Delivery Department,2025-10-17,awaiting,51,cleanser order arrived much later expected
114,billing,1114,Customer_114,Tunisia,Phone Call,I was charged twice for my Foundation purchase.,Foundation,3,Finance Department,2025-09-12,awaiting,47,charged twice foundation purchase
115,packaging,1115,Customer_115,Algeria,Mobile App,The Blush arrived with damaged packaging and I am disappointed.,Blush,4,Packaging Department,2025-05-28,awaiting,63,blush arrived damaged packaging disappointed
116,product_quality,1116,Customer_116,Tunisia,Mobile App,The Lipstick does not perform as advertised.,Lipstick,3,Quality Control Department,2025-12-20,resolved,44,lipstick perform advertised
117,product_quality,1117,Customer_117,Ghana,Mobile App,The Eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-10-20,resolved,44,eyeliner perform advertised
118,product_quality,1118,Customer_118,Nigeria,Email,the eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-11-07,awaiting,44,eyeliner perform advertised
119,product_quality,1119,Customer_119,Ghana,Phone Call,The Eyeliner does not perform as advertised.,Eyeliner,4,Quality Control Department,2025-11-14,resolved,44,eyeliner perform advertised
120,refund,1120,Customer_120,Tunisia,Email,I requested a refund for my Kohl but have not received it.,Kohl,2,Customer Support,2025-06-08,resolved,58,requested refund kohl received
121,packaging,1121,Customer_121,Tunisia,Mobile App,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,3,Packaging Department,2025-03-31,in_progress,67,eyeshadow arrived damaged packaging disappointed
122,packaging,1122,Customer_122,Morocco,Phone Call,The Concealer arrived with damaged packaging and I am disappointed.,Concealer,3,Packaging Department,2025-05-12,resolved,67,concealer arrived damaged packaging disappointed
123,customer_service,1123,Customer_123,Nigeria,Phone Call,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,2,Customer Support,2025-04-26,awaiting,76,contacted support eyeliner never received helpful response
124,billing,1124,Customer_124,Algeria,Mobile App,I was charged twice for my Body Lotion purchase.,Body Lotion,3,Finance Department,2025-01-08,resolved,48,charged twice body lotion purchase
125,product_quality,1125,Customer_125,Kenya,Website,The Blush does not perform as advertised.,Blush,3,Quality Control Department,2025-02-25,awaiting,41,blush perform advertised
126,delivery,1126,Customer_126,Egypt,Phone Call,My Cleanser order arrived much later than expected.,Cleanser,3,Delivery Department,2025-11-28,in_progress,51,cleanser order arrived much later expected
127,refund,1127,Customer_127,Ghana,Email,I requested a refund for my Blush but have not received it.,Blush,3,Customer Support,2025-01-20,resolved,59,requested refund blush received
128,customer_service,1128,Customer_128,Kenya,Website,i contacted support about my lipstick and never received a helpful response.,Lipstick,2,Customer Support,2025-12-10,awaiting,76,contacted support lipstick never received helpful response
129,refund,1129,Customer_129,Kenya,Email,I requested a refund for my Concealer but have not received it.,Concealer,2,Customer Support,2025-09-08,awaiting,63,requested refund concealer received
130,product_quality,1130,Customer_130,Ghana,Website,the eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-02-20,awaiting,44,eyeliner perform advertised
131,product_quality,1131,Customer_131,Nigeria,Mobile App,The Kohl does not perform as advertised.,Kohl,2,Quality Control Department,2025-02-16,awaiting,40,kohl perform advertised
132,delivery,1132,Customer_132,Ghana,Phone Call,My Kohl order arrived much later than expected. please help!!!,Kohl,4,Delivery Department,2025-10-17,in_progress,62,kohl order arrived much later expected please help
133,packaging,1133,Customer_133,Morocco,Phone Call,The Concealer arrived with damaged packaging and I am disappointed.,Concealer,5,Packaging Department,2025-11-02,in_progress,67,concealer arrived damaged packaging disappointed
134,delivery,1134,Customer_134,Nigeria,Email,My Foundation order arrived much later than expected.,Foundation,4,Delivery Department,2025-03-09,in_progress,53,foundation order arrived much later expected
135,delivery,1135,Customer_135,Ghana,Mobile App,My Sunscreen order arrived much later than expected. please help!!!,Sunscreen,3,Delivery Department,2025-09-27,in_progress,67,sunscreen order arrived much later expected please help
136,billing,1136,Customer_136,Kenya,Phone Call,I was charged twice for my Blush purchase.,Blush,3,Finance Department,2025-11-11,in_progress,42,charged twice blush purchase
137,billing,1137,Customer_137,Nigeria,Mobile App,I was charged twice for my Kohl purchase.,Kohl,5,Finance Department,2025-07-25,resolved,41,charged twice kohl purchase
138,refund,1138,Customer_138,Morocco,Phone Call,I requested a refund for my Blush but have not received it.,Blush,5,Customer Support,2025-02-03,in_progress,59,requested refund blush received
139,delivery,1139,Customer_139,Egypt,Website,My Kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-08-21,awaiting,47,kohl order arrived much later expected
140,refund,1140,Customer_140,Algeria,Phone Call,I requested a refund for my Lipstick but have not received it.,Lipstick,4,Customer Support,2025-08-09,resolved,62,requested refund lipstick received
141,customer_service,1141,Customer_141,Nigeria,Website,I contacted support about my Body Lotion and never received a helpful response.,Body Lotion,3,Customer Support,2025-08-07,resolved,79,contacted support body lotion never received helpful response
142,refund,1142,Customer_142,Nigeria,Email,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,3,Customer Support,2025-02-17,resolved,63,requested refund eyeshadow received
143,packaging,1143,Customer_143,Egypt,Website,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,3,Packaging Department,2025-12-10,in_progress,67,eyeshadow arrived damaged packaging disappointed
144,product_quality,1144,Customer_144,Nigeria,Website,The Kohl does not perform as advertised.,Kohl,5,Quality Control Department,2025-11-04,resolved,40,kohl perform advertised
145,delivery,1145,Customer_145,Algeria,Email,My Primer order arrived much later than expected.,Primer,3,Delivery Department,2025-06-29,awaiting,49,primer order arrived much later expected
146,product_quality,1146,Customer_146,Algeria,Email,The Eyeliner does not perform as advertised.,Eyeliner,5,Quality Control Department,2025-11-08,awaiting,44,eyeliner perform advertised
147,customer_service,1147,Customer_147,Morocco,Website,i contacted support about my eyeliner and never received a helpful response.,Eyeliner,4,Customer Support,2025-01-04,in_progress,76,contacted support eyeliner never received helpful response
148,customer_service,1148,Customer_148,Nigeria,Email,I contacted support about my Primer and never received a helpful response. please help!!!,Primer,4,Customer Support,2025-09-29,in_progress,89,contacted support primer never received helpful response please help
149,product_quality,1149,Customer_149,Algeria,Email,The Blush does not perform as advertised.,Blush,4,Quality Control Department,2025-01-27,in_progress,41,blush perform advertised
150,packaging,1150,Customer_150,Kenya,Mobile App,the primer arrived with damaged packaging and i am disappointed.,Primer,3,Packaging Department,2025-11-07,resolved,64,primer arrived damaged packaging disappointed
151,product_quality,1151,Customer_151,Morocco,Mobile App,The Sunscreen does not perform as advertised.,Sunscreen,3,Quality Control Department,2025-09-27,awaiting,45,sunscreen perform advertised
152,delivery,1152,Customer_152,Morocco,Phone Call,My Sunscreen order arrived much later than expected.,Sunscreen,1,Delivery Department,2025-03-12,resolved,52,sunscreen order arrived much later expected
153,delivery,1153,Customer_153,Kenya,Phone Call,my lipstick order arrived much later than expected.,Lipstick,2,Delivery Department,2025-09-14,awaiting,51,lipstick order arrived much later expected
154,customer_service,1154,Customer_154,Nigeria,Mobile App,i contacted support about my eyeshadow and never received a helpful response.,Eyeshadow,1,Customer Support,2025-02-09,resolved,77,contacted support eyeshadow never received helpful response
155,product_quality,1155,Customer_155,Kenya,Email,The Primer does not perform as advertised.,Primer,3,Quality Control Department,2025-06-16,in_progress,42,primer perform advertised
156,billing,1156,Customer_156,Kenya,Email,I was charged twice for my Primer purchase.,Primer,3,Finance Department,2025-05-05,resolved,43,charged twice primer purchase
157,product_quality,1157,Customer_157,Ghana,Website,the concealer does not perform as advertised.,Concealer,4,Quality Control Department,2025-03-28,in_progress,45,concealer perform advertised
158,product_quality,1158,Customer_158,Morocco,Phone Call,The Lipstick does not perform as advertised.,Lipstick,4,Quality Control Department,2025-05-01,in_progress,44,lipstick perform advertised
159,packaging,1159,Customer_159,Nigeria,Phone Call,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,4,Packaging Department,2025-11-18,resolved,67,sunscreen arrived damaged packaging disappointed
160,product_quality,1160,Customer_160,Egypt,Website,The Primer does not perform as advertised.,Primer,5,Quality Control Department,2025-11-18,resolved,42,primer perform advertised
161,packaging,1161,Customer_161,Egypt,Email,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,4,Packaging Department,2025-06-30,awaiting,66,lipstick arrived damaged packaging disappointed
162,packaging,1162,Customer_162,Nigeria,Email,The Blush arrived with damaged packaging and I am disappointed. please help!!!,Blush,4,Packaging Department,2025-11-11,awaiting,78,blush arrived damaged packaging disappointed please help
